CASO2

 


Bar;Length;Qtty;Cost/ ;Material; Max L.D.;Priority
B1;12000;500;10;999;100X100X10RSA;;;
B0;12000;90;10;999;100X100X12RSA;;;
B2;6000;90;10;999;100X10FLAT;;;
B3;6000;90;10;999;100X15FLAT;;;
;6000;90;10;999;150X10FLAT;;;
;5000;90;10;999;150X15FLAT;;;
B4;3000;90;10;999;80X10FLAT;;;
B5;6000;90;10;999;AY-1/FB;;;

Piece; Length;Qtty; Left Ang;Right Ang;Material
A1-106;10241;10;90;90;100X100X10RSA;;;
A1-107;9903;5;90;90;100X100X10RSA;;;
A1-108;9903;5;90;90;100X100X10RSA;;;
C2-272;9829;10;90;90;100X100X10RSA;;;
C2-306;8381;10;90;45;100X100X10RSA;;;
B3-245;8380;5;90;45;100X100X10RSA;;;
B3-246;8232;5;90;90;100X100X10RSA;;;
B3-308;7085;10;90;90;100X100X10RSA;;;
H12-21;6151;5;90;90;100X100X10RSA;;;
H12-119;6098;5;90;90;100X100X10RSA;;;
H12-121;5986;16;90;90;100X100X10RSA;;;
B1-120;5700;5;90;90;100X100X10RSA;;;
B3-22;5700;5;90;90;100X100X10RSA;;;
B2-342;5591;5;90;90;100X100X10RSA;;;
H12-97;5591;5;90;90;100X100X10RSA;;;
100;5177;8;90;90;100X100X10RSA;;;
AA-46;10697;10;90;90;100X100X12RSA;;;
AB-274;7876;5;90;90;100X100X12RSA;;;
AB-321;3849;4;90;90;100X100X12RSA;;;
AA-275;3832;4;90;90;100X100X12RSA;;;
B1-PLT61;393;8;90;90;100X10FLAT;;;
B1-PLT60;335;4;90;90;100X10FLAT;;;
B1-PLT128;326;8;90;90;100X10FLAT;;;
B1-PLT57;324;4;90;90;100X10FLAT;;;
B1-PLT62;285;8;90;90;100X10FLAT;;;
B1-PLT7;284;4;90;90;100X10FLAT;;;
B1-PLT63;281;4;90;90;100X10FLAT;;;
B1-PLT53;268;6;90;90;100X10FLAT;;;
B1-PLT64;241;4;90;90;100X10FLAT;;;
AA-PLT31;200;8;90;90;100X10FLAT;;;
B1-PLT131;200;6;90;90;100X10FLAT;;;
AA-PLT101;175;20;90;90;100X10FLAT;;;
AA-PLT120;175;2;90;90;100X10FLAT;;;
AA-PLT89;175;8;90;90;100X10FLAT;;;
AB-PLT90;175;24;90;90;100X10FLAT;;;
AB-PLT58;150;32;90;90;100X10FLAT;;;
AB-PLT129;109;1;90;90;100X10FLAT;;;
AB-PLT116;615;4;90;90;100X15FLAT;;;
S-PLT164;615;4;90;90;100X15FLAT;;;
HD211-MM;600;56;90;90;100X15FLAT;;;
S-PLT98;600;5;90;90;100X15FLAT;;;
HD185-MM;450;24;90;90;100X15FLAT;;;
HD251-MM;450;48;90;90;100X15FLAT;;;
PLT114;450;2;90;90;100X15FLAT;;;
PLT130;450;2;90;90;100X15FLAT;;;
HD230-MM;350;16;90;90;100X15FLAT;;;
PLT14;486;4;90;90;150X10FLAT;;;
PLT117;480;8;90;90;150X10FLAT;;;
PLT105;462;4;90;90;150X10FLAT;;;
PLT103;450;8;90;90;150X10FLAT;;;
PLT124;320;16;90;90;150X10FLAT;;;
PLT123;305;8;90;90;150X10FLAT;;;
PLT55;271;20;90;90;150X10FLAT;;;
PLT51;270;12;90;90;150X10FLAT;;;
PLT54;269;8;90;90;150X10FLAT;;;
PLT159;263;16;90;90;150X10FLAT;;;
PLT158;257;16;90;90;150X10FLAT;;;
PLT122;230;8;90;90;150X10FLAT;;;
PLT141;400;8;90;90;150X15FLAT;;;
PLT143;325;8;90;90;150X15FLAT;;;
PLT139;254;16;90;90;150X15FLAT;;;
PLT65;240;4;90;90;80X10FLAT;;;
PLT59;239;4;90;90;80X10FLAT;;;
PLT126;194;4;90;90;80X10FLAT;;;
CLT9;50;4;90;90;AY-1/FB;;;
S-CLT10;50;8;90;90;AY-1/FB;;;

Cut kerf; Ends Trim; Scraplength
4;0;50

